filename,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_energy,GLCM_correlation,fore_area,fore_oil_all,fore_oil_max,fore_count,fore_dense,fore_spread,fore_avg,fore_oil_maxP,fore_oil_allP,chk_area,chk_oil_all,chk_oil_max,chk_count,chk_dense,chk_spread,chk_avg,chk_oil_maxP,chk_oil_allP,PZfore_area,PZfore_oil_all,PZfore_oil_max,PZfore_count,PZfore_dense,PZfore_spread,PZfore_avg,PZfore_oil_maxP,PZfore_oil_allP,PZchk_area,PZchk_oil_all,PZchk_oil_max,PZchk_count,PZchk_dense,PZchk_spread,PZchk_avg,PZchk_oil_maxP,PZchk_oil_allP,true_class
Train/normal\190.jpg,1534,23,0,0,0,13401.5,2213.0,2055.0,107,0,1,20.682242990654206,15.33410439129948,16.513076894377495,11414.5,1125.0,359.0,69,0,3,16.304347826086957,3.1451224319943933,9.855885058478252,13399.5,868.5,868.5,9,1,0,96.5,6.481585133773649,6.481585133773649,11335.5,0,0,0,0,0,0,0.0,0.0,1
Train/normal\36.jpg,3208,34,0,0,0,10070.0,2244.0,1327.5,64,1,2,35.0625,13.182720953326713,22.284011916583914,12185.0,3867.0,2183.0,143,0,2,27.041958041958043,17.915469839967173,31.735740664751745,10268.5,1543.5,984.0,35,1,0,44.1,9.582704387203583,15.031406729317817,12032.0,4970.5,4030.0,26,2,0,191.17307692307693,33.49401595744681,41.31067154255319,1
Train/oily\1 (1836).jpg,4845,46,0,0,0,4230.0,2216.5,706.5,71,0,1,31.218309859154928,16.70212765957447,52.39952718676123,5816.5,1954.5,589.5,46,2,0,42.48913043478261,10.134960887131436,33.60268202527293,4133.0,1897.0,335.5,71,0,1,26.718309859154928,8.117590128236147,45.89886281151706,5801.0,1518.0,331.0,47,0,1,32.297872340425535,5.705912773659714,26.167902085847267,2
Train/dry\65.jpg,4603,39,0,0,0,15514.0,10523.0,10048.5,170,1,0,61.9,64.77052984401186,67.82905762537064,11137.0,4613.5,2738.5,71,1,0,64.97887323943662,24.58920714734668,41.42497979707282,15685.5,13327.0,12659.0,60,2,0,222.11666666666667,80.70510981479711,84.96382008861687,11264.5,7538.5,4931.0,14,1,0,538.4642857142857,43.77469039904124,66.9226330507346,0
Train/oily\78.jpg,3345,43,0,0,0,20594.5,1900.0,980.0,13,1,0,146.15384615384616,4.758552040593362,9.22576416033407,16415.5,1521.0,1319.5,14,1,0,108.64285714285714,8.038134689774907,9.265633090676495,20946.0,1587.0,741.5,11,1,0,144.27272727272728,3.5400553805022437,7.576625608708107,16418.5,2193.5,2176.5,6,1,0,365.5833333333333,13.256387611535766,13.359929347991596,2
Train/normal\49.jpg,800,15,0,0,0,14358.0,1030.5,192.5,45,0,1,22.9,1.3407159771555928,7.177183451734225,9895.5,237.0,237.0,5,0,0,47.4,2.395028043049871,2.395028043049871,14424.0,52.0,27.5,5,0,0,10.4,0.19065446478092068,0.36051026067665,9880.0,0,0,0,0,0,0,0.0,0.0,1
Train/normal\131.jpg,2104,30,0,0,0,13592.5,1463.0,1391.0,7,1,0,209.0,10.233584697443444,10.76328857826007,11342.5,1361.0,776.5,7,2,0,194.42857142857142,6.8459334361913164,11.999118360149879,13626.0,608.0,577.0,13,1,0,46.76923076923077,4.234551592543666,4.462057830617936,11405.5,1300.0,769.0,10,2,0,130.0,6.742361141554514,11.398009732146772,1
Train/oily\1 (1254).jpg,343,11,0,0,0,10667.5,6287.5,3181.0,279,0,1,22.53584229390681,29.819545348019687,58.94070775720647,8437.5,3121.0,1238.0,168,1,1,18.577380952380953,14.672592592592594,36.989629629629626,10399.0,4858.5,1114.5,225,0,1,21.593333333333334,10.717376670833733,46.72083854216751,8361.5,2513.5,833.5,127,2,1,19.791338582677167,9.968307121927884,30.060395861986482,2
Train/oily\5.jpg,2136,26,0,0,0,12619.0,4192.0,3620.5,174,0,1,24.091954022988507,28.69086298438862,33.219747999049055,10249.5,172.5,50.5,11,0,2,15.681818181818182,0.4927069613151861,1.6830089272647446,12902.0,3352.0,2647.5,146,1,1,22.958904109589042,20.520074407068673,25.980468144473722,10442.0,0,0,0,0,0,0,0.0,0.0,2
Train/normal\2.jpg,2069,24,0,0,0,15998.5,1576.5,868.0,33,0,1,47.77272727272727,5.425508641435135,9.8540488170766,12947.0,994.0,526.5,4,2,0,248.5,4.066579130300456,7.677454236502665,15627.5,222.0,119.5,6,0,0,37.0,0.7646776515757479,1.4205727083666613,12901.5,989.5,516.0,2,2,0,494.75,3.9995349377979306,7.669650815796612,1
